GRADO,CENTRO,SOL. 1ª PREF.,SOL. 2ª PREF.,SOL. 3ª PREF. ,OFERTA,NOTA DE CORTE,DEMANDA SOBRE OFERTA (1ª PREF.)
EDUCACIÓN INFANTIL,C.P. INMACULADA CONCEPCIÓN (ADS),11,18,14,130,5.32,0.1
GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,F. FILOSOFÍA Y LETRAS,21,15,19,60,5.303,0.4
ADMON. Y DIREC. DE EMPRESA + DERECHO,F. CIENCIAS SOCIALES Y JURÍDICAS (MELILLA),24,13,7,60,5.29,0.4
FILOLOGÍA CLÁSICA,F. FILOSOFÍA Y LETRAS,27,22,25,50,5.284,0.5
EDUCACIÓN INFANTIL,F. EDUCACIÓN Y HUMANIDADES (MELILLA),21,8,9,65,5.25,0.3
INGENIERÍA INFORMÁTICA,F. EDUCACIÓN Y HUMANIDADES (CEUTA),12,4,1,50,5.25,0.2
ESTUDIOS ÁRABES E ISLÁMICOS,F. FILOSOFÍA Y LETRAS,24,20,16,50,5.225,0.5
INFORMACIÓN Y DOCUMENTACIÓN,F. COMUNICACIÓN Y DOCUMENTACIÓN,25,8,14,100,5.203,0.3
EDUCACIÓN INFANTIL,F. EDUCACIÓN Y HUMANIDADES (CEUTA),27,6,1,70,5.18,0.4
EDUCACIÓN PRIMARIA,F. EDUCACIÓN Y HUMANIDADES (CEUTA),33,22,11,140,5.13,0.2
HISTORIA DEL ARTE,F. FILOSOFÍA Y LETRAS,73,106,86,150,5.12,0.5
EDUCACIÓN SOCIAL,F. EDUCACIÓN Y HUMANIDADES (CEUTA),17,8,8,70,5.104,0.2
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,F. EDUCACIÓN Y HUMANIDADES (CEUTA),20,10,3,70,5.008,0.3
RELACIONES LABORALES Y RECURSOS HUMANOS,F. CIENCIAS DEL TRABAJO,98,88,96,370,5,0.3
INGENIERÍA CIVIL,E.T.S. ING. CAMINOS. CANALES Y PUERTOS,70,61,67,180,5,0.4
EDIFICACIÓN,E.T.S. DE INGENIERÍA DE EDIFICACIÓN,40,43,15,145,5,0.3
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,F. CIENCIAS SOCIALES Y JURÍDICAS (MELILLA),30,16,6,70,5,0.4
EDUCACIÓN SOCIAL,F. EDUCACIÓN Y HUMANIDADES (MELILLA),23,6,14,70,5,0.3

